序號,城市,匹克球場地,開放時間,室內/戶外,收費,備註
1,南投縣,地理中心碑羽球場,六、日,室外,否,
2,南投縣,埔里國小匹克球專用球場,未知,室外,未知,
3,南投縣,埔里鎮立綜合球場,一到五 16:00-20:00,室內,否,
4,台中市,GXS羽毛球雅潭館,六 12:00-15:00     日 14:00-17:00,室內,是,DUPR比賽
5,台中市,台中市大肚區文昌路二段770號附近,全天,室外,否,
6,台中市,國際網球中心,三、五 19:00-21:00,室外,是,
7,台中市,大里康橋匹克球球場,全天,室外,是,
8,台中市,潭子國民運動中心,一 09:00-11:00,室內,是,
9,台中市,舊社公園,全天,室外,否,
10,台中市,賴興里活動中心,二 19:00-21:00     六 17:45-19:45     日 13:00-17:00,室內,是,週日 DUPR
11,台北市中山區,濱江國小,四 19:00-21:00,室內,是,有新手友善
12,台北市中山區,長安國小,日 14:00-16:00,室內,是,
13,台北市中正區,東門國小,一 19:00-21:00,室內,是,有新手友善
14,台北市信義區,信義國中,日 非固定時段,室內,是,
15,台北市信義區,信義國小,六 14:30-16:30,室內,是,有新手體驗，有自費教練課
16,台北市信義區,信義運動中心,五 13:00-17:00,室內,是,有新手體驗，有自費教練課
17,台北市信義區,永吉國中,三 19:30-21:30,室內,是,
18,台北市信義區,永春高中,"四 19:30-21:30
五 18:30-20:30 ",室內,是,週四有自費教練課
19,台北市內湖區,南湖國小,"六 18:00-21:00
日 18:00-22:00",室內,是,有新手友善、新手教學
20,台北市內湖區,可奇室內網球俱樂部,12:00-22:00,室內,是,
21,台北市內湖區,安湖里活動中心,一、五               12:00-15:00          日18:00-22:00,室內,是,
22,台北市內湖區,明湖國中,二 19:00-21:00,室內,是,
23,台北市內湖區,明湖國小,六 10:00-12:30,室內,是,
24,台北市內湖區,潭美國小,六 13:30-16:00,室內,是,
25,台北市北投區,中正高中,六 09:30-11:30,室內,是,
26,台北市北投區,北投捷運會館,一、五 12:00-16:00  三 12:00-14:00,室內,是,
27,台北市北投區,北投運動中心,二 12:00-16:00 四 12:00-15:00 六 14:00-18:00,室內,是,週四有新手體驗
28,台北市北投區,明德站匹克球球場,09:00-18:00,室外,否,
29,台北市北投區,桃源國小,六、日 09:00-12:00,室外,否,
30,台北市北投區,石牌國中 DUPR,日 13:00-17:00,室內,是,
31,台北市南港區,南港運動中心,三 12:00-15:00,室內,是,有新手教學
32,台北市士林區,天母公園,07:00-24:00,室外,否,
33,台北市士林區,至善公園,二、四、日 14:30-18:30,室外,否,
34,台北市大同區,Fun Tennis 瘋網球,未知,室內,是,
35,台北市大同區,忠孝國中,六、日 15:00-17:00,室內,是,
36,台北市大安區,北科大中正館,六、日 18:00-21:30,室內,是,
37,台北市大安區,古亭國小,"六 17:00-20:00
日 17:20-20:20",室內,是,週六僅教練課
38,台北市大安區,幸安國小,二 20:00-22:00      六 16:00-18:00,室內,是,週二有新手友善
39,台北市大安區,新生國小,一、三、五   18:50-20:50,室內,是,
40,台北市大安區,銘傳國小,"四 17:50-21:50
六 09:00-11:00
六 11:00-13:00",室內,是,週四、週六11:00-13:00有新手教學
41,台北市文山區,景美河濱公園,08:30-24:00,室外,否,
42,台北市松山區,西松高中,六 17:30-21:00,室內,是,有新手友善
43,台北市萬華區,萬華運動中心,一 14:00-16:00     三 15:00-18:00,室內,是,
44,台北市萬華區,華中橋匹克球球場,全天,室外,否,
